date,open,high,low,close,volume
2025-06-25,32.4,60.0,31.4,52.8,206
2025-06-26,53.6,61.6,47.6,50.8,162
2025-06-27,54.0,64.2,45.0,45.0,152
2025-06-30,48.8,54.0,47.8,51.0,101
2025-07-01,51.0,51.0,40.6,47.2,113
2025-07-02,48.4,48.4,41.0,44.2,135
2025-07-03,47.2,47.8,40.0,45.8,71
2025-07-04,42.4,56.0,40.4,43.2,197
2025-07-07,42.2,45.8,40.8,41.2,68
2025-07-08,42.8,60.2,42.8,58.6,149
2025-07-09,57.4,67.0,54.2,56.2,152
2025-07-10,54.8,68.8,53.2,61.0,75
2025-07-11,61.0,86.2,59.6,71.0,389
2025-07-14,75.6,77.0,70.8,72.8,186
2025-07-15,72.8,74.4,56.2,60.2,203
2025-07-16,60.6,70.0,51.4,55.2,243
2025-07-17,54.8,62.6,52.8,61.4,300
2025-07-18,67.4,73.4,56.2,61.6,327
2025-07-21,67.2,78.2,65.2,74.0,392
2025-07-22,74.4,87.2,71.6,86.0,411
2025-07-23,85.2,114.0,82.2,93.0,913
2025-07-24,95.4,124.6,95.4,124.6,910
2025-07-25,121.2,130.2,114.0,126.4,576
2025-07-28,129.4,135.0,107.8,115.0,828
2025-07-29,110.6,126.2,96.2,126.2,885
2025-07-30,120.0,125.6,99.4,107.8,1004
2025-07-31,108.2,109.2,68.8,77.0,1313
2025-08-01,74.6,81.8,60.2,68.6,1115
2025-08-04,63.8,83.6,60.0,83.6,894
2025-08-05,88.6,97.6,78.0,97.0,929
2025-08-06,93.2,130.2,91.8,124.0,2307
2025-08-07,126.2,136.0,104.6,113.8,2190
2025-08-08,105.0,116.8,100.0,106.2,1529
2025-08-11,117.0,169.2,107.6,151.8,5348
2025-08-12,151.8,166.2,140.2,165.2,3922
2025-08-13,168.8,252.6,168.8,240.2,4254
2025-08-14,245.0,257.8,175.6,192.0,4600
2025-08-15,191.8,298.8,188.0,298.8,5856
2025-08-18,318.8,451.2,306.6,389.6,3610
2025-08-19,390.0,423.8,364.0,375.0,1271
2025-08-20,358.8,456.4,307.2,456.4,1942
2025-08-21,458.8,484.6,360.2,399.6,1427
2025-08-22,409.6,506.0,405.0,498.8,2050
2025-08-25,549.4,635.6,514.0,562.0,1745
2025-08-26,560.2,619.8,538.8,561.4,1169
2025-08-27,575.0,636.6,441.8,446.8,1716
2025-08-28,459.8,523.8,354.8,516.0,1690
2025-08-29,516.0,555.0,443.2,503.2,1511
2025-09-01,545.6,572.4,473.2,520.0,1479
2025-09-02,520.0,520.0,357.4,403.0,1834
2025-09-03,415.0,442.4,288.6,311.2,2685
2025-09-04,320.0,354.4,177.2,214.8,4297
2025-09-05,230.4,371.0,210.0,354.2,5497
2025-09-08,367.0,400.0,306.0,372.4,2963
2025-09-09,361.0,384.2,264.0,298.2,1914
2025-09-10,295.8,380.8,270.8,283.4,1553
2025-09-11,270.0,492.6,230.0,490.4,2016
2025-09-12,506.8,552.0,473.6,495.0,777
2025-09-15,505.0,529.0,471.8,473.6,497
2025-09-16,495.2,572.6,435.8,553.6,502
2025-09-17,542.4,661.0,542.4,647.0,447
2025-09-18,628.0,753.6,491.4,550.6,596
2025-09-19,579.8,605.4,524.4,548.0,823
