date,open,high,low,close,volume
2025-01-27,99.6,100.4,66.6,66.6,233
2025-02-05,72.4,72.4,46.4,52.4,201
2025-02-06,51.2,71.8,48.4,68.4,159
2025-02-07,70.6,113.8,70.6,84.2,351
2025-02-10,95.8,105.0,89.0,100.0,141
2025-02-11,95.8,98.4,85.8,92.4,100
2025-02-12,99.0,103.6,86.0,98.0,107
2025-02-13,99.8,100.8,86.8,86.8,134
2025-02-14,92.0,92.8,77.4,90.0,71
2025-02-17,97.6,102.6,80.2,89.0,304
2025-02-18,82.6,86.8,58.6,61.0,138
2025-02-19,61.6,85.2,61.6,85.0,304
2025-02-20,85.0,93.0,80.8,86.2,258
2025-02-21,94.8,146.6,84.2,134.8,311
2025-02-24,130.8,143.4,108.4,120.2,407
2025-02-25,106.2,131.8,104.2,112.6,254
2025-02-26,120.0,150.0,104.4,137.2,494
2025-02-27,136.6,147.4,103.8,128.0,774
2025-02-28,122.0,122.0,76.0,79.0,809
2025-03-03,79.0,93.0,62.0,68.4,980
2025-03-04,60.0,80.2,60.0,72.0,660
2025-03-05,75.0,89.2,64.2,80.8,912
2025-03-06,95.0,137.0,95.0,125.8,1460
2025-03-07,132.6,133.6,98.8,109.0,1451
2025-03-10,110.0,116.8,82.0,98.0,1001
2025-03-11,82.0,113.0,80.2,113.0,1256
2025-03-12,123.8,153.0,111.8,117.2,2750
2025-03-13,117.0,122.4,80.0,92.2,2686
2025-03-14,93.0,145.4,86.0,141.8,4379
2025-03-17,144.0,149.2,126.0,131.6,3159
2025-03-18,140.2,168.0,128.6,140.0,4244
2025-03-19,143.8,143.8,110.6,122.0,5561
2025-03-20,122.0,129.0,102.4,109.6,5714
2025-03-21,106.0,106.4,61.6,62.2,11860
2025-03-24,62.0,66.8,38.0,48.0,13928
2025-03-25,46.6,51.8,33.8,38.8,11740
2025-03-26,38.0,47.2,35.2,35.4,9970
2025-03-27,34.2,45.4,27.6,33.2,12354
2025-03-28,33.0,38.4,25.6,25.6,10664
2025-03-31,22.8,25.8,16.2,18.8,11064
2025-04-01,21.0,24.4,16.2,16.4,8339
2025-04-02,15.6,20.8,13.6,15.8,8655
2025-04-03,12.8,18.8,9.4,10.0,10382
2025-04-07,4.8,11.6,2.0,6.8,8429
2025-04-08,8.2,11.0,2.4,4.0,5235
2025-04-09,2.0,5.2,2.0,2.0,3747
2025-04-10,4.0,5.8,2.2,2.4,4372
2025-04-11,2.4,3.8,1.0,2.4,2881
2025-04-14,1.0,3.8,0.6,0.8,1361
2025-04-15,1.2,1.2,0.2,0.4,1135
2025-04-16,0.4,0.4,0.2,0.2,960
2025-04-17,0.2,0.4,0.2,0.2,800
2025-04-18,0.2,0.2,0.2,0.2,86
