date,open,high,low,close,volume
2025-04-21,59.4,75.2,58.8,73.2,43
2025-04-22,72.8,78.0,69.8,78.0,31
2025-04-23,90.0,90.0,76.2,78.0,59
2025-04-24,75.6,77.2,64.4,67.6,37
2025-04-25,65.2,79.0,64.4,64.6,68
2025-04-28,64.8,64.8,55.4,60.4,50
2025-04-29,54.0,64.8,53.6,59.6,101
2025-04-30,65.0,72.4,65.0,70.2,35
2025-05-06,78.2,80.6,70.0,80.2,81
2025-05-07,104.2,114.6,74.6,81.0,98
2025-05-08,82.6,92.4,82.4,86.4,127
2025-05-09,82.4,82.4,68.0,71.6,125
2025-05-12,80.4,98.2,78.6,98.2,105
2025-05-13,99.2,101.4,79.8,82.2,118
2025-05-14,84.0,108.8,74.0,94.0,209
2025-05-15,82.8,82.8,70.8,73.4,221
2025-05-16,72.0,76.0,60.4,60.4,174
2025-05-19,58.8,59.4,47.6,57.0,330
2025-05-20,54.6,68.2,54.0,65.8,184
2025-05-21,65.2,65.2,57.4,63.4,251
2025-05-22,57.8,67.4,53.2,54.4,196
2025-05-23,53.2,61.8,45.8,45.8,283
2025-05-26,45.2,50.4,41.4,45.4,299
2025-05-27,43.2,45.4,39.0,42.2,291
2025-05-28,44.8,44.8,36.8,39.8,157
2025-05-29,40.0,57.2,39.0,53.8,411
2025-05-30,48.8,48.8,39.2,41.0,327
2025-06-03,38.0,46.2,38.0,41.8,242
2025-06-04,40.8,50.6,40.8,49.4,614
2025-06-05,49.4,63.8,46.6,61.0,696
2025-06-06,61.0,62.6,56.2,58.4,361
2025-06-09,64.0,82.8,60.0,72.6,1080
2025-06-10,69.4,71.0,45.4,54.0,1516
2025-06-11,52.4,75.4,52.4,60.0,1368
2025-06-12,50.8,65.4,50.2,59.2,983
2025-06-13,55.0,59.4,41.4,42.2,1970
2025-06-16,41.8,47.0,40.4,44.0,1592
2025-06-17,44.4,47.4,38.0,43.0,2733
2025-06-18,40.8,45.0,35.2,42.8,3134
2025-06-19,41.0,44.2,26.4,26.6,4943
2025-06-20,28.6,28.8,19.8,20.4,4052
2025-06-23,19.8,22.8,17.0,21.8,4719
2025-06-24,23.4,51.4,23.4,51.0,13267
2025-06-25,51.8,113.0,51.2,98.0,26375
2025-06-26,92.6,110.6,81.4,81.4,26122
2025-06-27,90.2,116.2,74.6,75.4,27275
2025-06-30,83.8,107.0,81.6,96.6,23194
2025-07-01,94.4,96.4,65.0,90.8,22530
2025-07-02,86.6,89.8,61.8,72.6,20281
2025-07-03,75.0,89.4,61.0,74.4,26576
2025-07-04,73.8,109.6,56.2,64.8,39221
2025-07-07,62.0,74.2,59.6,65.0,19806
2025-07-08,65.0,125.4,60.2,120.2,31747
2025-07-09,122.2,143.2,103.2,109.4,18636
2025-07-10,106.2,136.4,94.8,112.0,19226
2025-07-11,118.0,199.2,98.2,164.6,20119
2025-07-14,165.2,174.8,140.4,153.6,6191
2025-07-15,156.0,176.0,86.2,130.6,15162
2025-07-16,133.8,192.6,120.0,146.8,9583
2025-07-17,140.0,322.2,138.0,322.2,5856
2025-07-18,255.0,267.8,224.2,234.4,2667
