date,open,high,low,close,volume
2024-06-25,283.8,305.8,283.8,305.8,3
2024-06-26,303.4,306.6,242.4,242.4,15
2024-06-27,263.6,288.8,255.2,286.6,16
2024-06-28,283.4,288.0,257.4,282.8,10
2024-07-01,270.2,300.6,251.2,259.8,8
2024-07-02,253.2,276.4,253.2,270.8,13
2024-07-03,272.0,277.6,261.6,273.6,9
2024-07-04,276.6,330.2,276.6,315.2,35
2024-07-05,315.2,326.8,296.4,296.4,29
2024-07-08,340.0,356.0,340.0,356.0,7
2024-07-09,333.0,345.0,304.8,304.8,16
2024-07-10,309.8,312.0,301.6,312.0,5
2024-07-11,288.2,288.2,279.6,279.6,3
2024-07-12,283.0,284.2,280.4,280.4,12
2024-07-15,299.0,300.0,299.0,299.6,8
2024-07-16,297.4,297.4,291.0,291.0,23
2024-07-17,288.4,309.2,288.4,305.8,10
2024-07-18,330.4,330.4,304.8,304.8,5
2024-07-19,327.8,327.8,289.0,303.4,10
2024-07-22,308.2,313.4,300.0,313.4,4
2024-07-23,318.2,331.2,318.2,331.2,24
2024-07-24,373.8,420.8,373.8,420.8,37
2024-07-25,418.8,434.2,393.6,414.6,39
2024-07-26,377.6,387.0,372.4,380.6,30
2024-07-29,389.0,389.0,380.8,380.8,7
2024-07-30,398.4,403.0,389.2,399.0,12
2024-07-31,374.4,374.4,274.8,274.8,41
2024-08-01,262.8,277.6,258.6,277.6,5
2024-08-02,291.6,310.2,291.6,310.2,6
2024-08-05,339.8,384.0,339.8,384.0,31
2024-08-06,350.0,370.0,333.6,355.0,18
2024-08-07,347.4,351.6,344.0,351.6,8
2024-08-08,363.4,380.0,343.6,343.6,6
2024-08-09,324.2,339.8,324.2,339.8,9
2024-08-12,381.4,381.4,360.6,378.6,19
2024-08-13,365.8,365.8,365.4,365.4,4
2024-08-14,362.4,365.6,362.4,365.6,2
2024-08-15,367.6,367.6,331.8,335.0,22
2024-08-16,353.8,356.4,350.2,350.2,8
2024-08-19,346.2,346.2,346.2,346.2,4
2024-08-20,375.2,400.6,375.2,399.8,137
2024-08-21,398.0,398.0,398.0,398.0,3
2024-08-22,411.8,435.0,411.8,435.0,6
2024-08-23,441.2,445.4,430.0,430.0,11
2024-08-26,413.6,423.8,408.6,423.8,14
2024-08-27,440.4,448.6,436.2,444.0,8
2024-08-28,435.6,435.6,435.6,435.6,2
2024-08-29,425.8,427.0,385.6,385.6,50
2024-08-30,340.0,340.0,324.4,334.0,28
2024-09-02,341.0,364.4,340.0,364.4,7
2024-09-03,379.6,382.0,358.6,378.6,19
2024-09-04,394.0,397.2,384.0,397.2,23
2024-09-05,387.2,387.2,387.2,387.2,1
2024-09-06,412.8,412.8,412.8,412.8,2
2024-09-09,433.8,439.4,414.6,439.4,7
2024-09-10,452.8,477.6,426.2,440.6,19
2024-09-11,456.0,456.0,451.2,451.2,2
2024-09-12,427.8,436.8,427.8,435.0,23
2024-09-13,443.0,457.6,443.0,457.6,15
2024-09-18,465.4,502.2,465.4,476.0,21
2024-09-19,480.0,491.8,412.4,441.0,26
2024-09-20,452.2,461.4,446.8,461.4,7
2024-09-23,420.0,436.2,412.6,419.2,49
2024-09-24,391.8,417.4,338.2,349.4,56
2024-09-25,285.0,301.4,271.0,0.0,30
2024-09-26,293.6,293.6,224.6,224.6,4
2024-09-27,188.2,211.0,176.6,176.6,65
2024-09-30,155.0,603.2,10.0,126.4,185
2024-10-08,95.0,99.0,54.0,85.4,77
2024-10-09,86.4,100.2,75.4,100.2,144
2024-10-10,91.6,117.4,85.2,92.6,66
2024-10-11,98.8,166.2,98.8,166.2,83
2024-10-14,160.0,185.4,130.8,130.8,26
2024-10-15,112.4,126.8,100.8,126.8,51
2024-10-16,127.8,127.8,106.2,122.0,42
2024-10-17,111.8,125.8,105.0,123.6,51
