date,open,high,low,close,volume
2025-07-02,12.8,13.8,9.0,9.6,230
2025-07-03,9.8,11.6,8.4,10.0,431
2025-07-04,10.0,16.4,8.4,10.6,836
2025-07-07,10.4,12.2,9.6,10.2,396
2025-07-08,10.0,18.0,10.0,16.8,1062
2025-07-09,19.6,22.4,14.4,15.4,1255
2025-07-10,15.8,22.0,14.4,17.6,636
2025-07-11,18.6,31.8,16.8,23.0,2702
2025-07-14,21.4,25.6,19.0,19.0,818
2025-07-15,19.0,21.4,11.8,12.6,1389
2025-07-16,12.8,16.4,10.4,12.4,1014
2025-07-17,11.2,15.0,11.2,15.0,935
2025-07-18,18.4,30.4,10.8,13.4,1737
2025-07-21,15.4,18.4,13.0,15.8,1796
2025-07-22,15.4,20.0,13.8,19.0,2440
2025-07-23,19.4,34.0,18.8,20.2,4504
2025-07-24,20.2,32.0,20.2,31.4,3160
2025-07-25,29.6,33.8,25.6,31.6,3356
2025-07-28,33.0,37.8,18.0,20.4,4181
2025-07-29,18.8,23.4,11.6,23.4,4227
2025-07-30,20.4,21.6,11.6,13.4,4574
2025-07-31,13.2,13.2,4.8,5.6,4113
2025-08-01,5.6,6.4,3.0,4.6,2159
2025-08-04,4.2,8.0,2.4,8.0,1318
2025-08-05,8.4,9.2,4.2,6.8,1919
2025-08-06,5.4,16.2,5.4,13.6,5337
2025-08-07,13.6,18.8,6.0,7.4,5745
2025-08-08,6.4,6.4,3.4,4.0,3222
2025-08-11,4.0,20.6,4.0,12.0,12502
2025-08-12,12.4,13.4,5.6,9.0,9018
2025-08-13,12.8,45.2,11.0,32.4,35631
2025-08-14,35.8,41.0,2.2,2.8,37492
2025-08-15,2.0,17.8,1.2,4.6,41061
