date,open,high,low,close,volume
2025-11-24,652.0,680.0,652.0,680.0,4
2025-11-25,544.0,544.0,544.0,544.0,2
2025-11-27,555.6,555.6,540.8,552.6,8
2025-12-01,488.2,488.2,486.8,486.8,4
2025-12-03,546.0,546.0,528.2,528.2,2
2025-12-05,519.2,519.2,459.4,459.4,5
2025-12-08,423.6,425.6,395.6,401.8,18
2025-12-09,402.6,402.6,402.6,402.6,3
2025-12-10,396.2,396.2,396.2,396.2,3
2025-12-11,438.2,446.4,438.2,446.4,18
2025-12-12,431.8,449.6,385.8,397.0,36
2025-12-15,424.6,424.6,422.2,422.2,3
2025-12-17,518.0,518.0,437.0,437.0,4
2025-12-18,414.0,435.0,395.0,433.0,6
2025-12-19,385.2,385.2,368.0,379.8,12
2025-12-22,344.0,344.8,303.6,335.0,174
2025-12-23,330.0,347.4,309.6,337.8,55
2025-12-24,327.8,327.8,261.6,269.4,139
2025-12-25,279.0,279.0,217.4,226.6,329
2025-12-26,218.2,223.6,188.0,203.0,798
2025-12-29,206.0,231.6,196.2,223.0,724
2025-12-30,226.4,234.2,200.0,220.0,568
2025-12-31,213.8,247.0,212.4,223.0,868
2026-01-05,200.0,201.0,138.0,140.2,1079
2026-01-06,134.0,134.0,108.2,112.6,2066
2026-01-07,105.0,115.6,96.2,99.8,1605
2026-01-08,106.0,110.4,75.6,82.6,2076
2026-01-09,81.2,81.2,52.4,53.4,3095
2026-01-12,43.8,53.4,40.0,40.2,2840
2026-01-13,40.2,49.8,36.4,40.0,1640
2026-01-14,31.6,59.6,24.0,40.8,3494
2026-01-15,50.0,51.0,35.2,35.8,2880
2026-01-16,34.0,36.8,24.8,28.6,3561
2026-01-19,31.0,36.2,20.2,22.6,3763
2026-01-20,21.4,30.2,18.2,25.6,5217
2026-01-21,26.4,29.8,15.6,17.2,3782
2026-01-22,15.0,16.4,12.0,12.8,3205
2026-01-23,11.0,13.2,7.6,9.8,5011
2026-01-26,9.8,15.8,7.6,12.0,3655
2026-01-27,13.0,23.8,7.8,9.6,5379
2026-01-28,9.8,11.6,8.0,9.6,2494
2026-01-29,7.6,12.0,7.0,10.0,4027
2026-01-30,18.0,36.2,9.6,16.2,8055
2026-02-02,23.2,103.4,19.6,92.0,13938
2026-02-03,62.2,72.0,17.0,17.2,8980
2026-02-04,17.4,28.2,12.2,12.6,6618
2026-02-05,25.0,40.4,16.8,26.0,8787
2026-02-06,40.0,67.4,16.8,27.0,9658
2026-02-09,14.4,14.4,4.6,5.4,4434
2026-02-10,4.4,6.8,3.2,4.0,2008
2026-02-11,4.0,4.4,2.2,2.4,2196
2026-02-12,2.4,2.4,1.2,1.4,1999
2026-02-13,6.4,6.4,1.6,3.4,3649
2026-02-24,0.2,0.2,0.2,0.2,512
