date,open,high,low,close,volume
2025-02-13,36.8,39.2,32.0,32.8,176
2025-02-14,33.4,34.0,29.0,32.0,171
2025-02-17,36.0,40.2,29.4,33.0,282
2025-02-18,31.0,33.0,20.6,20.6,381
2025-02-19,21.6,29.0,21.6,28.2,316
2025-02-20,29.8,31.4,25.2,28.6,382
2025-02-21,29.6,55.2,27.6,50.6,558
2025-02-24,50.6,58.0,40.2,44.4,722
2025-02-25,40.0,48.8,37.4,41.8,574
2025-02-26,45.2,55.0,38.8,51.6,619
2025-02-27,51.8,55.0,38.2,50.0,626
2025-02-28,46.6,46.6,26.8,28.0,473
2025-03-03,28.2,34.2,19.8,22.8,676
2025-03-04,20.0,23.8,19.4,21.4,338
2025-03-05,23.6,28.8,17.6,21.4,252
2025-03-06,25.0,47.0,25.0,41.8,1642
2025-03-07,39.8,44.0,29.6,35.0,1043
2025-03-10,33.6,37.6,23.6,27.8,866
2025-03-11,24.6,32.0,24.2,31.4,699
2025-03-12,35.0,47.2,30.8,32.0,1630
2025-03-13,35.0,35.0,21.6,23.4,1801
2025-03-14,24.0,44.2,23.4,43.2,2233
2025-03-17,45.0,50.6,37.4,38.4,1703
2025-03-18,46.8,54.0,39.6,43.6,2733
2025-03-19,43.6,43.6,31.8,36.4,2863
2025-03-20,36.4,37.4,27.0,29.4,2711
2025-03-21,26.0,30.0,15.6,15.6,4331
2025-03-24,16.2,17.4,8.2,10.0,5888
2025-03-25,10.0,10.8,7.2,7.8,3281
2025-03-26,8.2,9.8,6.4,6.4,2817
2025-03-27,6.4,7.0,4.4,4.4,3018
2025-03-28,5.2,5.4,3.8,4.2,1408
2025-03-31,3.6,4.0,2.6,3.2,1629
2025-04-01,3.4,4.0,2.4,2.4,1056
2025-04-02,2.6,3.0,2.0,2.4,688
2025-04-03,2.2,2.6,1.6,1.8,937
2025-04-07,1.6,4.2,1.6,3.6,1948
2025-04-08,7.8,8.0,1.8,2.4,1401
2025-04-09,2.4,3.2,1.4,1.4,1353
2025-04-10,2.6,5.0,1.2,1.6,1157
2025-04-11,1.6,1.8,0.8,1.2,1067
2025-04-14,1.2,1.2,0.4,0.6,756
2025-04-15,0.6,0.6,0.2,0.2,1167
2025-04-16,0.2,0.6,0.2,0.2,212
2025-04-17,0.2,0.4,0.2,0.2,341
2025-04-18,0.2,0.2,0.2,0.2,91
