date,open,high,low,close,volume
2024-04-17,615.8,625.4,607.8,625.4,31
2024-04-18,630.8,672.6,626.6,644.0,24
2024-04-19,620.0,620.0,620.0,620.0,2
2024-04-22,575.8,575.8,575.8,575.8,1
2024-04-23,604.8,604.8,583.2,583.2,35
2024-04-24,593.2,651.8,593.2,651.8,51
2024-04-25,669.2,669.2,664.4,664.4,4
2024-04-26,744.6,744.6,744.6,744.6,2
2024-04-29,851.8,881.8,851.8,881.8,7
2024-04-30,874.8,874.8,831.4,841.0,33
2024-05-06,917.2,917.2,904.6,904.6,3
2024-05-08,834.4,836.8,833.4,833.4,18
2024-05-09,875.6,913.4,875.6,911.4,21
2024-05-10,842.6,861.6,842.6,861.0,23
2024-05-13,804.6,805.6,804.4,805.6,23
2024-05-14,839.4,839.4,821.4,825.8,23
2024-05-15,795.6,795.6,784.6,784.6,36
2024-05-16,802.6,810.6,801.4,801.4,32
2024-05-17,813.4,821.6,796.4,821.6,36
2024-05-20,871.8,876.6,871.8,876.6,16
2024-05-21,827.6,837.6,825.6,825.6,27
2024-05-22,807.6,819.0,807.6,819.0,41
2024-05-23,735.4,735.4,719.6,719.6,33
2024-05-24,688.2,690.2,688.2,690.2,15
2024-05-27,658.6,705.4,658.6,705.4,23
2024-05-28,697.8,700.8,696.8,696.8,38
2024-05-29,654.2,654.2,644.2,644.8,17
2024-05-30,649.2,649.2,649.2,649.2,2
2024-06-03,597.8,597.8,594.4,594.4,3
2024-06-06,568.2,568.2,534.6,534.6,8
2024-06-07,555.8,556.4,529.6,556.4,4
2024-06-11,520.0,563.2,520.0,563.2,10
2024-06-12,574.0,576.2,573.4,575.0,40
2024-06-13,561.6,562.0,561.6,562.0,6
2024-06-14,518.2,518.2,508.0,508.0,8
2024-06-17,558.8,558.8,537.0,538.0,10
2024-06-18,568.2,568.2,568.2,568.2,1
2024-06-19,535.0,535.0,535.0,535.0,1
2024-06-20,500.6,500.6,472.8,472.8,8
2024-06-21,461.6,471.6,461.6,471.6,4
2024-06-24,424.0,440.6,389.6,389.6,9
2024-06-25,380.6,380.6,354.2,354.2,19
2024-06-26,350.0,430.0,350.0,430.0,25
2024-06-27,397.6,397.6,347.8,354.2,71
2024-06-28,367.2,372.2,290.2,290.2,84
2024-07-01,371.0,396.0,332.0,396.0,42
2024-07-02,386.6,386.6,353.4,358.8,18
2024-07-03,351.6,355.6,338.4,342.6,28
2024-07-04,334.0,334.0,285.0,294.2,16
2024-07-05,281.0,310.6,276.4,310.6,19
2024-07-08,290.6,292.0,253.6,253.6,19
2024-07-09,247.0,316.6,247.0,316.6,13
2024-07-10,310.8,333.0,310.8,325.0,16
2024-07-11,341.2,371.6,335.0,358.6,37
2024-07-15,326.6,329.4,326.6,329.4,3
2024-07-16,300.2,322.8,300.2,305.0,6
2024-07-17,292.4,299.0,291.0,291.0,14
2024-07-18,274.2,315.0,270.8,315.0,22
2024-07-19,303.8,325.4,303.8,325.4,10
2024-07-22,317.6,318.4,285.2,297.0,38
2024-07-23,274.0,274.0,250.0,250.0,35
2024-07-24,250.0,250.0,217.2,217.2,41
2024-07-25,216.8,228.0,208.2,223.8,38
2024-07-26,241.4,256.4,239.6,250.0,36
2024-07-29,235.2,242.6,234.6,235.4,8
2024-07-30,228.0,242.8,228.0,236.2,9
2024-07-31,276.2,363.6,276.2,358.6,70
2024-08-01,388.2,401.6,332.0,357.2,78
2024-08-02,343.6,359.4,312.0,313.0,28
2024-08-05,336.0,338.0,274.0,275.0,17
2024-08-06,300.0,303.0,281.0,293.8,46
2024-08-07,296.0,301.2,284.0,284.0,40
2024-08-08,276.6,301.0,275.0,287.8,19
2024-08-09,297.0,297.0,262.8,262.8,26
2024-08-12,264.4,264.4,239.2,239.2,19
2024-08-13,247.8,247.8,234.8,241.6,7
2024-08-14,247.0,247.0,235.6,235.8,11
2024-08-15,223.0,282.6,223.0,247.8,43
2024-08-16,244.6,249.2,228.0,228.4,42
2024-08-19,218.0,240.8,218.0,234.6,38
2024-08-20,204.6,204.6,190.0,193.6,23
2024-08-21,194.0,199.0,184.8,185.6,42
2024-08-22,190.4,190.4,166.6,168.4,23
2024-08-23,173.4,182.4,167.4,175.6,16
2024-08-26,173.0,183.4,173.0,175.0,10
2024-08-27,160.2,164.4,158.0,162.2,52
2024-08-28,160.0,174.0,156.8,168.0,16
2024-08-29,189.6,196.4,187.0,193.4,25
2024-08-30,205.4,267.2,205.4,226.2,56
2024-09-02,214.6,221.0,181.2,181.2,55
2024-09-03,189.6,201.4,189.6,193.8,11
2024-09-04,192.4,209.6,185.2,190.0,34
2024-09-05,198.6,220.8,197.2,197.2,14
2024-09-06,188.2,194.0,169.4,170.2,43
2024-09-09,183.8,183.8,161.8,164.4,12
2024-09-10,155.2,155.2,146.6,154.6,54
2024-09-11,171.6,171.6,167.4,167.4,13
2024-09-12,180.6,192.6,180.6,192.6,8
2024-09-13,165.8,165.8,147.0,147.0,12
2024-09-18,137.4,138.6,116.0,128.4,298
2024-09-19,135.8,181.8,125.0,164.0,153
2024-09-20,154.0,154.0,142.4,147.6,12
2024-09-23,160.8,161.8,144.4,146.6,63
2024-09-24,177.4,227.2,151.0,218.0,82
2024-09-25,297.8,335.8,255.2,0.0,214
2024-09-26,259.0,403.8,249.8,402.2,74
2024-09-27,486.2,768.0,449.4,768.0,110
2024-09-30,1090.4,1274.4,886.4,1274.4,51
2024-10-08,1700.0,1700.0,1443.4,1566.8,61
2024-10-09,1363.0,1470.0,1187.8,1187.8,95
2024-10-10,1184.4,1244.6,1050.0,1050.0,27
2024-10-11,981.6,981.6,788.2,788.2,15
2024-10-14,885.6,995.0,800.0,995.0,7
2024-10-15,994.8,1018.6,893.0,893.0,14
2024-10-16,880.0,898.2,858.8,858.8,5
2024-10-17,918.6,933.6,908.4,933.6,8
2024-10-18,1016.2,1345.4,1016.2,1171.4,10
2024-10-21,1171.4,1294.6,1171.4,1227.6,8
2024-10-22,1224.4,1224.6,1213.4,1224.0,15
2024-10-23,1265.4,1337.0,1250.0,1254.4,11
2024-10-24,1194.8,1212.2,1194.8,1212.2,4
2024-10-25,1284.8,1345.4,1284.8,1308.0,6
2024-10-29,1385.0,1385.0,1328.0,1336.2,8
2024-10-30,1333.0,1333.0,1269.2,1269.2,2
2024-10-31,1376.6,1436.0,1376.6,1406.2,11
2024-11-01,1278.8,1282.0,1259.8,1259.8,4
2024-11-05,1566.6,1600.4,1566.6,1600.4,7
2024-11-06,1631.8,1631.8,1631.8,1631.8,1
2024-11-07,1606.0,1613.0,1606.0,1613.0,2
2024-11-08,1793.0,1793.2,1764.2,1764.2,5
2024-11-13,1662.6,1665.0,1662.4,1665.0,7
2024-11-14,1705.0,1705.0,1663.8,1663.8,5
2024-11-18,1352.0,1352.0,1352.0,1352.0,1
2024-11-20,1422.0,1422.0,1422.0,1422.0,3
2024-11-22,1350.0,1350.0,1340.0,1340.0,2
2024-11-27,1156.6,1289.0,1156.6,1289.0,2
2024-11-29,1381.4,1381.4,1327.0,1327.0,3
2024-12-10,1670.6,1670.6,1629.6,1629.6,5
2024-12-11,1687.4,1687.4,1687.4,1687.4,1
2024-12-12,1670.6,1670.6,1670.6,1670.6,3
2024-12-13,1670.6,1685.6,1620.6,1620.6,3
2024-12-17,1492.6,1492.6,1444.0,1444.0,2
2024-12-18,1513.0,1513.0,1513.0,1513.0,1
2024-12-19,1398.8,1501.0,1398.8,1501.0,6
2024-12-23,1520.0,1520.0,1520.0,1520.0,1
2024-12-26,1476.4,1483.6,1476.4,1478.8,17
2024-12-27,1493.4,1556.0,1493.4,1556.0,6
2024-12-30,1499.0,1499.0,1438.4,1463.0,8
2024-12-31,1403.8,1403.8,1305.0,1305.0,4
2025-01-02,1238.0,1246.0,1207.6,1207.6,15
2025-01-03,1080.0,1085.8,1071.8,1071.8,6
2025-01-06,977.2,984.4,977.2,984.4,2
2025-01-07,949.4,949.4,949.4,949.4,1
2025-01-09,1001.6,1007.2,1000.4,1007.2,6
2025-01-10,1036.2,1036.2,959.0,961.0,15
2025-01-13,903.6,946.2,903.6,946.2,5
2025-01-14,1033.0,1033.0,1033.0,1033.0,1
2025-01-17,1188.2,1234.8,1181.2,1208.6,9
2025-01-20,1275.6,1284.4,1234.0,1234.0,30
2025-01-21,1211.0,1254.2,1211.0,1240.6,21
2025-01-22,1215.6,1215.6,1212.2,1212.2,4
2025-01-23,1287.8,1314.4,1190.8,1192.8,24
2025-01-24,1236.2,1311.8,1216.0,1311.8,24
2025-01-27,1312.0,1312.0,1216.2,1225.8,13
2025-02-05,1255.0,1283.4,1204.4,1224.4,16
2025-02-06,1226.6,1391.2,1226.2,1388.0,20
2025-02-10,1510.2,1546.0,1504.6,1546.0,49
2025-02-11,1505.8,1505.8,1505.8,1505.8,1
2025-02-13,1571.6,1571.6,1571.6,1571.6,3
2025-02-14,1565.2,1584.8,1558.0,1584.8,10
2025-02-18,1494.8,1494.8,1494.8,1494.8,3
2025-02-19,1580.0,1580.0,1580.0,1580.0,3
2025-02-20,1649.8,1649.8,1649.8,1649.8,3
2025-02-21,1676.6,1801.8,1676.6,1801.8,18
2025-02-24,1748.0,1803.4,1748.0,1762.0,26
2025-02-25,1714.4,1783.8,1714.4,1783.8,8
2025-02-26,1758.0,1826.8,1735.2,1808.0,14
2025-02-27,1835.0,1835.0,1733.0,1771.2,8
2025-02-28,1716.2,1716.2,1677.0,1691.6,20
2025-03-03,1640.2,1717.4,1611.6,1618.0,39
2025-03-04,1671.2,1691.2,1649.4,1691.2,10
2025-03-05,1683.0,1683.0,1657.4,1657.4,4
2025-03-06,1868.2,1892.6,1868.2,1892.6,2
2025-03-07,1888.0,1888.0,1860.2,1860.2,5
2025-03-10,1846.4,1846.4,1817.0,1817.0,4
2025-03-11,1841.4,1867.2,1836.4,1842.2,17
2025-03-12,1970.2,1970.2,1960.6,1960.8,8
