date,open,high,low,close,volume
2025-03-24,54.0,55.0,41.0,45.4,211
2025-03-25,48.0,51.2,41.2,44.0,115
2025-03-26,45.6,47.8,41.2,42.0,117
2025-03-27,41.4,45.4,36.0,39.0,131
2025-03-28,41.0,41.4,37.0,37.8,91
2025-03-31,34.0,38.6,33.2,34.8,97
2025-04-01,36.6,38.6,30.4,30.4,335
2025-04-02,33.4,33.8,28.6,28.8,81
2025-04-03,33.6,35.0,24.6,25.2,105
2025-04-07,28.0,33.6,12.2,26.4,357
2025-04-08,20.0,27.0,18.0,20.8,423
2025-04-09,18.6,26.8,14.8,20.2,261
2025-04-10,14.8,27.8,14.8,20.8,347
2025-04-11,20.4,23.0,18.2,21.8,163
2025-04-14,21.4,23.4,19.8,19.8,57
2025-04-15,18.0,18.0,15.2,15.2,64
2025-04-16,12.8,14.2,10.8,12.2,100
2025-04-17,15.0,15.6,12.6,12.6,80
2025-04-18,14.4,15.2,11.8,12.2,32
2025-04-21,12.2,13.0,9.8,12.8,74
2025-04-22,13.0,13.0,12.2,12.2,9
2025-04-23,15.8,15.8,13.2,15.2,26
2025-04-24,15.0,15.0,13.0,13.6,46
2025-04-25,12.8,13.6,11.0,11.0,39
2025-04-28,12.0,12.0,10.0,10.0,102
2025-04-29,10.2,10.4,9.6,9.8,42
2025-04-30,9.8,11.8,9.6,11.4,175
2025-05-06,11.6,11.6,8.4,10.0,217
2025-05-07,15.0,20.0,8.6,9.8,367
2025-05-08,10.0,11.0,8.4,9.6,174
2025-05-09,9.8,9.8,7.2,7.2,107
2025-05-12,10.2,10.2,7.6,10.0,188
2025-05-13,11.0,13.0,8.2,8.2,249
2025-05-14,8.6,12.4,6.8,9.2,357
2025-05-15,9.2,9.2,7.2,7.4,431
2025-05-16,7.0,7.0,4.2,4.4,382
2025-05-19,3.8,4.0,2.2,3.2,690
2025-05-20,3.4,4.2,3.0,3.8,266
2025-05-21,3.6,4.4,3.4,3.8,115
2025-05-22,2.8,3.8,2.8,3.0,193
2025-05-23,2.8,3.2,2.6,2.8,139
2025-05-26,2.6,2.8,2.2,2.2,188
2025-05-27,2.2,2.4,2.2,2.2,69
2025-05-28,2.2,2.2,2.0,2.2,40
2025-05-29,2.2,2.8,2.2,2.4,154
2025-05-30,1.8,2.2,1.8,2.2,86
2025-06-03,1.8,1.8,1.4,1.4,145
2025-06-04,1.6,2.0,1.4,1.6,144
2025-06-05,1.4,2.0,1.4,1.8,103
2025-06-06,2.2,2.4,1.6,1.6,85
2025-06-09,2.2,2.2,1.6,1.8,116
2025-06-10,1.4,1.6,0.8,1.0,314
2025-06-11,1.0,1.6,0.8,1.0,242
2025-06-12,1.0,1.0,0.6,0.8,191
2025-06-13,1.0,1.0,0.6,0.8,141
2025-06-16,0.8,0.8,0.4,0.4,104
2025-06-17,0.4,0.6,0.4,0.4,301
2025-06-18,0.4,0.6,0.2,0.2,114
2025-06-19,0.2,0.2,0.2,0.2,129
2025-06-20,0.2,0.4,0.2,0.2,36
