date,open,high,low,close,volume
2024-02-06,412.0,456.0,222.6,223.4,78
2024-02-07,238.6,238.6,163.2,187.6,60
2024-02-08,166.8,174.6,130.6,159.0,102
2024-02-19,138.0,160.0,137.6,147.4,53
2024-02-20,137.4,137.4,112.6,112.6,20
2024-02-21,107.8,107.8,90.4,103.0,96
2024-02-22,94.8,104.6,94.8,98.6,15
2024-02-23,99.8,99.8,87.6,90.0,69
2024-02-26,89.0,90.8,83.4,86.6,36
2024-02-27,82.6,84.6,67.8,67.8,56
2024-02-28,63.2,84.8,55.4,84.8,64
2024-02-29,78.4,83.4,70.0,70.0,34
2024-03-01,69.8,74.2,67.6,67.6,21
2024-03-04,73.8,74.8,68.6,68.6,20
2024-03-05,74.2,76.4,72.2,75.2,14
2024-03-06,72.0,73.0,69.2,70.0,37
2024-03-07,67.2,73.4,66.0,73.4,24
2024-03-08,72.8,73.4,64.8,64.8,15
2024-03-11,66.6,67.6,59.4,59.4,25
2024-03-12,57.4,57.4,46.0,48.6,34
2024-03-13,47.0,48.0,44.0,45.0,30
2024-03-14,43.0,49.0,42.8,47.2,50
2024-03-15,48.4,52.4,43.6,43.6,21
2024-03-18,43.6,43.6,35.0,35.0,42
2024-03-19,37.6,40.4,35.8,38.2,32
2024-03-20,38.6,38.6,37.0,37.0,5
2024-03-21,35.2,35.2,34.2,35.0,5
2024-03-22,36.0,39.4,35.8,35.8,4
2024-03-25,38.2,39.6,34.8,39.6,30
2024-03-26,37.2,42.4,36.2,41.8,91
2024-03-27,42.6,55.4,42.6,54.6,91
2024-03-28,54.6,54.6,45.8,51.0,193
2024-03-29,46.0,48.6,42.6,42.6,45
2024-04-01,38.0,41.2,37.2,37.6,37
2024-04-02,36.0,36.0,34.4,34.4,13
2024-04-03,35.2,37.6,35.2,37.4,39
2024-04-08,36.6,41.2,36.6,39.4,36
2024-04-09,41.0,41.0,38.4,38.4,25
2024-04-10,40.4,45.2,40.4,45.0,30
2024-04-11,42.8,45.0,40.4,45.0,21
2024-04-12,43.4,45.2,42.0,45.2,17
2024-04-15,46.6,51.4,43.0,48.4,62
2024-04-16,49.8,72.4,48.8,71.0,40
2024-04-17,69.0,69.0,54.2,57.0,63
2024-04-18,56.4,56.4,50.0,52.4,31
2024-04-19,52.8,54.0,52.0,53.2,21
2024-04-22,50.4,53.6,48.2,51.0,15
2024-04-23,53.6,55.2,47.6,47.6,36
2024-04-24,46.0,46.0,37.4,37.4,39
2024-04-25,36.6,36.6,29.8,34.0,44
2024-04-26,32.0,32.0,27.0,28.2,65
2024-04-29,2.4,28.2,2.4,23.0,94
2024-04-30,24.6,24.6,21.0,21.0,28
2024-05-06,17.8,22.8,17.0,19.4,107
2024-05-07,17.6,17.6,15.2,15.6,28
2024-05-08,15.4,15.6,15.0,15.6,10
2024-05-09,15.2,15.6,14.4,14.8,50
2024-05-10,14.4,15.6,14.4,14.6,34
2024-05-13,16.2,16.2,14.6,14.6,69
2024-05-14,13.8,15.6,13.4,15.6,61
2024-05-15,15.0,15.6,14.6,14.6,23
2024-05-16,15.2,15.2,12.8,13.0,43
2024-05-17,13.2,13.2,11.0,11.8,56
2024-05-20,11.6,11.6,9.2,9.4,100
2024-05-21,10.0,10.6,9.0,10.0,52
2024-05-22,9.8,10.2,9.2,10.0,50
2024-05-23,10.8,14.0,10.4,13.0,89
2024-05-24,13.0,14.8,13.0,14.4,26
2024-05-27,14.4,16.4,12.8,13.2,90
2024-05-28,14.4,16.8,14.0,16.0,50
2024-05-29,15.0,15.6,13.4,14.4,56
2024-05-30,16.0,16.0,13.8,14.4,77
2024-05-31,13.4,14.4,13.4,13.4,71
2024-06-03,14.6,18.4,13.6,18.2,67
2024-06-04,16.0,18.2,15.0,15.2,38
2024-06-05,16.6,17.8,15.2,17.8,58
2024-06-06,18.0,27.2,18.0,27.2,93
2024-06-07,23.8,30.4,22.4,25.0,57
2024-06-11,28.6,31.0,21.2,22.4,88
2024-06-12,21.2,21.8,18.6,20.6,119
2024-06-13,21.6,22.8,19.8,21.2,32
2024-06-14,20.6,21.4,17.2,17.4,54
2024-06-17,17.2,18.0,15.4,17.0,50
2024-06-18,17.4,18.8,15.8,15.8,101
2024-06-19,16.2,19.4,16.2,18.2,40
2024-06-20,18.4,25.8,18.4,25.8,58
2024-06-21,27.8,27.8,22.0,22.4,32
2024-06-24,24.6,36.6,23.6,36.6,191
2024-06-25,34.8,46.0,34.4,42.0,121
2024-06-26,44.6,44.6,26.0,28.8,105
2024-06-27,28.8,38.8,27.4,38.6,98
2024-06-28,36.2,36.6,27.6,34.6,115
2024-07-01,32.6,41.0,29.8,32.8,135
2024-07-02,33.2,35.0,32.0,32.0,33
2024-07-03,34.8,35.6,30.4,34.6,54
2024-07-04,34.8,47.2,34.6,43.2,90
2024-07-05,49.6,51.2,39.2,40.4,87
2024-07-08,44.6,56.2,43.8,55.8,65
2024-07-09,48.8,62.2,42.0,43.0,152
2024-07-10,44.6,45.2,40.6,43.4,90
2024-07-11,38.8,41.4,31.2,31.8,161
2024-07-12,32.2,33.4,29.8,31.4,47
2024-07-15,32.8,35.4,32.2,33.0,85
2024-07-16,32.0,32.6,30.4,31.6,31
2024-07-17,30.8,34.6,30.4,33.6,46
2024-07-18,37.0,42.8,35.8,37.0,65
2024-07-19,36.4,36.6,30.8,33.8,56
2024-07-22,31.6,34.0,31.2,33.0,35
2024-07-23,33.2,48.2,33.2,48.0,67
2024-07-24,49.2,58.4,46.0,58.0,117
2024-07-25,62.2,63.8,51.4,58.4,140
2024-07-26,54.0,56.4,45.8,46.8,174
2024-07-29,48.2,49.6,42.8,46.0,40
2024-07-30,48.8,51.8,43.0,43.6,87
2024-07-31,42.4,42.8,23.8,23.8,311
2024-08-01,22.2,27.2,21.8,24.6,157
2024-08-02,25.8,30.2,24.0,29.2,25
2024-08-05,32.0,50.2,30.2,48.2,88
2024-08-06,38.4,44.8,35.4,38.8,60
2024-08-07,38.4,40.0,35.2,37.8,43
2024-08-08,40.6,42.2,31.6,35.2,80
2024-08-09,33.8,39.0,32.4,39.0,34
2024-08-12,38.4,42.0,37.4,38.4,31
2024-08-13,39.0,40.0,33.4,33.8,51
2024-08-14,35.0,37.6,34.0,37.6,25
2024-08-15,35.6,36.6,28.0,31.4,60
2024-08-16,31.8,32.2,29.0,31.0,52
2024-08-19,28.2,28.8,25.0,26.6,89
2024-08-20,30.0,33.0,27.4,31.8,74
2024-08-21,30.6,33.0,30.2,33.0,26
2024-08-22,30.6,37.0,30.4,37.0,63
2024-08-23,37.6,41.0,34.6,34.8,76
2024-08-26,36.0,37.2,29.6,34.8,39
2024-08-27,36.8,39.8,35.8,38.0,63
2024-08-28,38.2,41.0,33.8,36.8,34
2024-08-29,38.4,39.0,26.6,27.8,213
2024-08-30,28.0,28.0,19.0,21.8,164
2024-09-02,21.8,29.0,21.8,29.0,77
2024-09-03,29.0,29.6,24.4,25.2,102
2024-09-04,27.4,29.6,24.2,27.2,28
2024-09-05,25.4,26.6,22.8,24.4,31
2024-09-06,26.8,32.8,26.6,32.8,118
2024-09-09,33.6,36.8,31.0,36.0,190
2024-09-10,34.2,47.6,31.8,35.8,435
2024-09-11,36.4,38.6,33.8,34.4,124
2024-09-12,30.0,34.4,26.6,32.6,71
2024-09-13,35.0,35.2,31.6,33.6,96
2024-09-18,35.4,45.2,32.6,37.2,383
2024-09-19,34.6,37.2,27.6,30.4,389
2024-09-20,32.0,33.4,29.0,30.4,161
2024-09-23,30.2,31.6,23.4,24.4,285
2024-09-24,17.8,24.0,13.4,14.0,705
2024-09-25,12.0,15.2,9.2,0.0,343
2024-09-26,10.4,11.2,5.6,5.6,279
2024-09-27,5.6,8.0,3.0,3.0,630
2024-09-30,2.8,4.6,1.6,3.0,710
2024-10-08,3.4,267.4,3.4,5.2,739
2024-10-09,7.4,7.8,3.8,4.4,589
2024-10-10,4.6,6.6,3.6,4.4,250
2024-10-11,4.0,8.8,3.8,7.4,448
2024-10-14,7.0,8.2,5.0,5.0,324
2024-10-15,5.0,5.0,3.2,3.4,227
2024-10-16,4.0,5.4,3.0,4.6,457
2024-10-17,4.0,7.0,4.0,6.4,411
2024-10-18,6.2,6.8,3.0,3.4,457
2024-10-21,3.0,4.4,3.0,3.2,291
2024-10-22,3.6,3.6,2.6,2.8,371
2024-10-23,3.8,3.8,2.4,2.4,173
2024-10-24,3.2,3.2,2.2,2.2,106
2024-10-25,2.4,2.4,1.8,1.8,108
2024-10-28,2.2,2.2,1.8,2.0,53
2024-10-29,2.2,2.2,2.0,2.0,33
2024-10-30,2.2,2.4,1.8,2.2,47
2024-10-31,1.8,2.4,1.8,2.0,56
2024-11-01,1.8,2.0,1.6,1.8,114
2024-11-04,1.8,2.6,1.8,1.8,169
2024-11-05,2.2,2.4,2.0,2.0,218
2024-11-06,2.4,3.6,2.2,2.6,274
