date,open,high,low,close,volume
2024-07-22,53.0,57.6,51.2,51.2,13
2024-07-23,52.0,52.6,33.6,33.6,99
2024-07-24,37.4,37.4,27.8,27.8,88
2024-07-25,27.4,30.6,26.2,27.2,39
2024-07-26,27.6,35.6,27.6,31.4,39
2024-07-29,29.8,32.2,27.6,29.0,26
2024-07-30,27.6,31.4,26.6,29.2,24
2024-07-31,32.0,69.8,32.0,69.8,144
2024-08-01,76.8,78.0,60.2,61.4,166
2024-08-02,59.8,65.6,46.6,48.6,44
2024-08-05,52.0,61.0,38.2,39.2,77
2024-08-06,50.4,50.4,38.2,44.2,24
2024-08-07,44.2,45.2,38.0,38.0,26
2024-08-08,33.4,40.8,27.4,35.4,27
2024-08-09,37.2,38.2,29.4,30.0,18
2024-08-12,25.2,28.0,21.0,23.8,82
2024-08-13,22.2,28.8,21.4,26.6,97
2024-08-14,26.6,26.6,19.6,19.6,120
2024-08-15,19.8,31.6,18.4,23.4,189
2024-08-16,21.6,25.0,17.2,17.2,141
2024-08-19,17.4,21.0,14.6,14.6,130
2024-08-20,13.2,14.4,10.0,10.8,206
2024-08-21,10.8,11.0,9.6,10.0,44
2024-08-22,9.6,9.8,8.8,9.0,42
2024-08-23,8.8,9.4,7.6,7.6,36
2024-08-26,8.4,9.0,7.8,8.2,90
2024-08-27,7.8,7.8,6.2,6.6,64
2024-08-28,6.8,8.4,6.6,6.8,72
2024-08-29,6.6,10.2,6.6,8.6,150
2024-08-30,9.0,17.0,9.0,10.2,620
2024-09-02,11.2,11.8,7.2,7.2,286
2024-09-03,7.2,8.8,6.8,6.8,208
2024-09-04,7.2,9.2,6.4,6.6,120
2024-09-05,8.2,8.4,7.0,7.8,83
2024-09-06,7.0,7.8,5.8,6.0,114
2024-09-09,5.8,5.8,4.4,4.8,169
2024-09-10,5.0,5.2,3.8,4.8,128
2024-09-11,4.6,5.4,4.6,5.2,118
2024-09-12,5.8,6.4,3.2,3.4,235
2024-09-13,3.6,3.8,2.4,2.6,124
2024-09-18,2.6,3.2,2.2,2.8,158
2024-09-19,2.8,3.8,2.2,2.6,310
2024-09-20,2.4,2.8,1.6,2.2,381
2024-09-23,2.0,2.2,1.4,1.4,271
2024-09-24,2.8,5.0,1.4,5.0,1234
2024-09-25,10.0,26.2,7.0,0.0,5725
2024-09-26,8.8,54.8,7.0,54.8,8151
2024-09-27,90.0,398.0,58.8,259.6,31074
2024-09-30,300.0,773.2,300.0,767.8,5368
2024-10-08,1338.6,1338.6,732.2,1034.0,1077
2024-10-09,881.8,949.0,522.8,553.4,555
2024-10-10,660.0,743.8,469.6,478.2,397
2024-10-11,449.2,469.0,251.6,297.8,842
2024-10-14,319.4,446.6,205.0,423.2,1586
2024-10-15,382.8,506.8,304.4,304.4,566
2024-10-16,246.6,410.0,246.6,319.8,502
2024-10-17,370.0,432.2,295.8,297.8,409
2024-10-18,305.8,556.0,283.8,543.0,595
