date,open,high,low,close,volume
2025-01-20,154.8,170.6,134.4,134.4,45
2025-01-21,136.2,142.4,128.2,142.4,11
2025-01-22,132.8,138.8,131.2,132.2,17
2025-01-23,148.0,176.0,127.2,127.2,26
2025-01-24,139.0,153.2,131.4,153.2,16
2025-01-27,155.6,155.6,117.6,118.2,18
2025-02-05,126.2,126.2,95.2,100.4,89
2025-02-06,94.8,132.8,94.8,132.8,42
2025-02-07,155.0,202.0,151.6,153.0,24
2025-02-10,176.0,195.4,175.8,195.4,40
2025-02-11,172.6,183.8,167.8,174.0,7
2025-02-12,187.0,195.0,173.0,195.0,30
2025-02-13,178.0,193.6,175.8,179.2,18
2025-02-14,180.0,184.8,156.6,178.6,21
2025-02-17,195.6,206.2,170.0,180.0,60
2025-02-18,177.8,185.8,125.6,130.6,38
2025-02-19,133.8,183.6,133.8,176.4,47
2025-02-20,174.6,200.4,173.2,200.4,56
2025-02-21,204.6,276.4,184.0,268.2,134
2025-02-24,256.4,268.4,217.4,236.4,119
2025-02-25,201.2,255.4,201.2,224.0,135
2025-02-26,228.4,287.6,213.2,258.6,287
2025-02-27,261.4,275.6,210.0,247.0,186
2025-02-28,229.0,229.0,160.0,165.6,383
2025-03-03,165.0,199.0,144.2,150.8,518
2025-03-04,138.0,182.4,134.6,172.4,636
2025-03-05,174.8,194.8,150.8,182.0,519
2025-03-06,216.8,283.0,212.8,259.2,719
2025-03-07,256.0,277.0,222.2,241.6,418
2025-03-10,255.4,255.4,195.4,223.0,590
2025-03-11,196.6,250.2,196.6,250.2,771
2025-03-12,263.0,313.0,248.0,262.0,596
2025-03-13,255.0,256.6,188.0,213.0,1122
2025-03-14,212.8,304.6,195.8,298.0,1064
2025-03-17,299.6,309.0,277.2,285.0,523
2025-03-18,303.6,341.2,285.0,299.6,518
2025-03-19,290.0,297.4,250.0,273.2,365
2025-03-20,260.0,288.0,237.2,253.8,555
2025-03-21,244.8,247.0,157.2,167.0,3558
2025-03-24,167.0,174.8,109.0,140.6,11191
2025-03-25,135.0,150.4,104.4,121.2,11872
2025-03-26,122.0,148.4,119.0,119.0,11513
2025-03-27,110.0,153.4,91.2,123.0,16497
2025-03-28,122.0,137.6,95.4,98.0,16801
2025-03-31,90.0,98.2,64.4,78.0,21775
2025-04-01,84.4,102.2,77.4,80.8,20634
2025-04-02,81.2,107.0,78.0,86.8,17687
2025-04-03,75.0,103.0,56.2,62.0,27282
2025-04-07,12.8,35.8,12.8,14.0,12901
2025-04-08,19.0,23.0,4.4,7.0,6819
2025-04-09,3.2,9.2,3.2,5.0,5333
2025-04-10,8.8,15.8,5.8,6.2,6756
2025-04-11,5.2,11.8,2.8,7.4,5785
2025-04-14,10.0,13.4,2.0,2.2,3620
2025-04-15,1.8,1.8,0.8,0.8,1637
2025-04-16,0.6,0.8,0.2,0.6,1429
2025-04-17,0.4,0.6,0.2,0.2,679
2025-04-18,0.2,0.4,0.2,0.2,217
