date,open,high,low,close,volume
2024-06-24,471.6,551.0,471.6,551.0,13
2024-06-25,544.0,588.8,544.0,588.8,20
2024-06-26,598.0,598.0,539.8,542.6,20
2024-06-27,563.0,563.0,563.0,563.0,3
2024-06-28,540.0,562.8,508.0,562.8,21
2024-07-01,550.0,552.6,514.0,514.0,21
2024-07-02,531.4,550.6,531.4,550.6,5
2024-07-03,542.2,542.2,542.2,542.2,3
2024-07-04,570.0,625.0,570.0,625.0,11
2024-07-05,632.0,632.0,612.8,612.8,4
2024-07-08,674.4,674.6,674.4,674.6,2
2024-07-09,602.6,602.6,602.6,602.6,2
2024-07-11,567.4,567.4,556.0,566.0,7
2024-07-12,564.2,564.2,564.2,564.2,8
2024-07-15,591.8,592.8,585.6,585.6,4
2024-07-16,585.6,585.6,585.6,585.6,12
2024-07-18,646.2,646.2,606.8,606.8,11
2024-07-22,595.0,608.6,595.0,608.6,5
2024-07-23,637.2,680.0,637.2,680.0,5
2024-07-24,698.0,755.0,698.0,755.0,26
2024-07-25,808.4,808.4,727.0,727.0,8
2024-07-26,714.8,714.8,700.6,700.6,2
2024-07-30,698.4,698.4,698.4,698.4,3
2024-08-01,517.0,576.4,517.0,558.6,12
2024-08-02,571.8,602.6,563.8,602.6,10
2024-08-05,638.0,707.4,638.0,704.0,35
2024-08-06,646.2,649.8,619.0,649.8,4
2024-08-07,651.2,659.0,651.2,659.0,6
2024-08-08,667.4,687.6,640.0,640.0,8
2024-08-09,627.4,641.4,627.4,637.2,7
2024-08-12,688.4,697.8,685.4,697.8,9
2024-08-14,680.0,680.0,680.0,680.0,3
2024-08-15,629.8,676.6,629.8,676.6,6
2024-08-19,713.4,713.4,653.4,678.8,24
2024-08-20,698.2,725.4,698.2,725.4,4
2024-08-21,728.6,732.6,728.6,732.6,5
2024-08-22,767.4,798.6,767.4,798.6,4
2024-08-23,786.2,793.8,773.4,786.8,21
2024-08-27,792.6,804.0,792.6,799.8,7
2024-08-28,768.6,768.6,768.6,768.6,6
2024-08-29,766.6,766.6,716.6,716.8,10
2024-08-30,670.8,670.8,623.8,627.2,22
2024-09-02,686.4,686.4,686.4,686.4,2
2024-09-03,690.2,709.0,690.2,709.0,4
2024-09-05,710.8,710.8,696.4,696.4,4
2024-09-06,723.2,754.4,723.2,754.4,7
2024-09-12,774.0,774.0,774.0,774.0,1
2024-09-18,878.4,878.8,837.8,837.8,6
2024-09-19,845.2,862.0,845.2,847.0,10
2024-09-24,700.8,700.8,639.2,639.2,8
2024-09-25,553.4,596.0,550.0,0.0,19
2024-09-26,535.2,535.2,488.8,494.8,13
2024-09-27,421.6,436.2,336.8,364.0,35
2024-09-30,280.4,280.4,267.4,267.4,11
2024-10-08,214.8,214.8,158.0,169.4,30
2024-10-09,207.8,230.8,190.8,230.8,75
2024-10-10,203.8,262.0,203.8,240.8,70
2024-10-11,268.2,357.6,258.8,349.0,26
2024-10-14,352.6,370.8,258.8,258.8,13
2024-10-15,264.0,290.0,246.2,290.0,40
2024-10-16,272.8,281.2,257.2,277.2,21
2024-10-17,257.4,282.4,255.6,282.4,24
2024-10-18,280.4,280.4,203.6,230.4,32
2024-10-21,211.2,234.8,186.0,205.8,83
2024-10-22,201.8,205.4,167.2,172.0,54
2024-10-23,180.0,180.0,150.2,160.2,50
2024-10-24,166.4,174.0,160.2,174.0,43
2024-10-25,161.6,164.0,149.6,152.6,39
2024-10-28,149.8,155.0,137.0,144.0,19
2024-10-29,145.2,159.2,139.8,152.4,35
2024-10-30,158.2,164.4,142.8,157.0,48
2024-10-31,153.6,153.6,129.0,137.0,18
2024-11-01,160.0,181.4,160.0,181.2,22
2024-11-04,170.6,170.6,149.4,150.6,31
2024-11-05,147.2,147.2,112.8,115.4,15
2024-11-06,126.6,129.0,111.6,129.0,22
2024-11-07,122.2,131.4,110.2,112.0,24
2024-11-08,99.6,108.6,98.4,107.4,23
2024-11-11,93.6,96.0,83.0,83.0,4
2024-11-12,85.2,85.2,70.0,79.0,60
2024-11-13,79.8,93.0,75.2,78.2,92
2024-11-14,86.0,88.2,79.6,86.6,29
2024-11-15,88.6,102.8,85.4,102.8,96
2024-11-18,106.6,143.0,102.6,136.0,106
2024-11-19,125.0,142.0,117.2,120.8,97
2024-11-20,112.2,117.6,107.8,108.6,60
2024-11-21,105.6,105.6,96.2,96.2,20
2024-11-22,96.6,132.2,96.6,132.2,34
2024-11-25,138.6,156.2,135.8,152.4,48
2024-11-26,134.6,159.6,132.8,147.6,24
2024-11-27,167.4,175.8,124.4,124.4,37
2024-11-28,124.6,131.2,119.8,122.4,32
2024-11-29,125.4,125.8,104.0,108.6,39
2024-12-02,106.2,106.2,92.0,92.0,32
2024-12-03,96.4,104.2,95.0,97.6,29
2024-12-04,101.2,112.6,101.2,112.2,19
