date,open,high,low,close,volume
2024-09-18,32.4,38.6,26.4,30.0,225
2024-09-19,28.4,31.0,20.8,23.0,121
2024-09-20,22.2,23.6,20.4,20.4,122
2024-09-23,21.2,21.2,15.4,17.6,137
2024-09-24,13.0,17.2,7.6,7.8,459
2024-09-25,5.2,7.6,3.2,0.0,166
2024-09-26,3.8,4.0,1.8,1.8,121
2024-09-27,1.6,3.8,1.0,1.4,452
2024-09-30,2.0,3.2,1.0,2.8,595
2024-10-08,2.8,6.4,1.8,6.2,492
2024-10-09,5.8,8.2,2.6,5.6,917
2024-10-10,4.0,4.6,2.2,2.2,192
2024-10-11,1.6,4.8,1.4,3.8,427
2024-10-14,3.0,4.4,1.8,1.8,287
2024-10-15,1.6,2.2,1.4,2.2,68
2024-10-16,2.8,3.0,1.6,1.6,53
2024-10-17,1.4,2.0,1.4,1.8,42
2024-10-18,2.0,2.4,1.4,2.4,234
2024-10-21,3.2,3.2,1.8,1.8,493
2024-10-22,2.0,2.0,1.0,1.2,164
2024-10-23,1.2,1.2,1.0,1.0,74
2024-10-24,1.2,1.6,1.0,1.2,168
2024-10-25,1.4,1.4,1.0,1.0,99
2024-10-28,1.0,1.2,0.8,0.8,167
2024-10-29,1.0,1.0,0.8,0.8,45
2024-10-30,0.8,1.0,0.8,1.0,123
2024-10-31,0.8,1.0,0.6,0.6,58
2024-11-01,1.0,1.0,0.6,0.6,81
2024-11-04,0.4,0.6,0.4,0.6,70
2024-11-05,0.6,0.6,0.6,0.6,35
2024-11-06,0.6,0.6,0.6,0.6,7
2024-11-07,0.4,0.6,0.4,0.6,61
2024-11-08,0.6,0.6,0.4,0.4,66
2024-11-11,0.4,0.4,0.2,0.4,44
2024-11-12,0.2,0.4,0.2,0.2,175
2024-11-13,0.2,0.2,0.2,0.2,77
2024-11-14,0.2,0.2,0.2,0.2,27
2024-11-15,0.2,0.4,0.2,0.2,39
