date,open,high,low,close,volume
2025-01-02,98.8,154.0,87.4,136.8,110
2025-01-03,143.4,190.4,130.8,182.4,88
2025-01-06,193.8,220.0,175.6,203.0,375
2025-01-07,191.6,205.4,162.2,165.2,134
2025-01-08,173.6,227.0,149.8,161.8,155
2025-01-09,153.4,169.4,151.0,166.8,22
2025-01-10,153.2,194.2,145.0,193.0,115
2025-01-13,207.8,224.2,192.2,199.6,352
2025-01-14,188.0,188.0,115.6,118.8,97
2025-01-15,132.0,136.0,119.6,121.0,321
2025-01-16,105.4,123.4,91.2,120.0,121
2025-01-17,118.2,127.0,97.2,102.8,171
2025-01-20,86.4,99.0,84.4,90.6,338
2025-01-21,84.6,97.2,80.6,83.8,223
2025-01-22,88.6,107.8,88.6,94.2,259
2025-01-23,80.2,89.4,64.8,89.0,370
2025-01-24,84.6,84.6,59.2,61.4,281
2025-01-27,58.8,74.2,56.6,73.2,305
2025-02-05,61.2,64.6,41.8,53.6,483
2025-02-06,55.0,55.6,28.2,29.4,717
2025-02-07,30.8,30.8,20.0,21.0,658
2025-02-10,20.2,21.2,16.8,17.2,293
2025-02-11,18.2,18.4,15.6,16.6,207
2025-02-12,17.2,17.4,11.6,11.8,438
2025-02-13,13.2,13.4,9.4,12.0,673
2025-02-14,12.0,12.6,9.0,9.4,400
2025-02-17,8.8,10.6,8.2,9.2,644
2025-02-18,9.8,13.2,7.8,12.0,713
2025-02-19,12.4,13.0,5.8,6.0,674
2025-02-20,5.8,7.8,4.4,4.6,1253
2025-02-21,4.4,4.4,2.8,3.2,732
2025-02-24,3.4,3.4,1.8,2.2,476
2025-02-25,2.8,2.8,1.8,2.4,436
2025-02-26,1.8,2.2,1.6,1.6,354
2025-02-27,1.6,2.0,1.4,1.6,561
2025-02-28,1.8,4.4,1.6,4.4,606
2025-03-03,3.8,4.2,2.0,2.0,544
2025-03-04,2.6,3.0,1.6,2.0,214
2025-03-05,1.6,2.2,1.2,1.4,229
2025-03-06,1.6,1.6,1.0,1.2,333
2025-03-07,1.4,1.4,0.8,1.2,122
2025-03-10,1.0,1.2,0.8,0.8,119
2025-03-11,1.4,1.4,0.6,0.6,105
2025-03-12,0.8,0.8,0.4,0.6,82
2025-03-13,0.8,0.8,0.4,0.6,296
2025-03-14,0.6,0.8,0.4,0.4,213
2025-03-17,0.6,0.6,0.2,0.2,115
2025-03-18,0.2,0.4,0.2,0.2,202
2025-03-19,0.4,0.4,0.2,0.2,54
2025-03-20,0.2,0.2,0.2,0.2,45
2025-03-21,0.2,0.2,0.2,0.2,25
