DateTime,value
2015/02/09,28.63
2015/02/10,28.75
2015/02/11,25.569060692273847
2015/02/12,24.41676571331955
2015/02/13,23.41
2015/02/16,21.71645678456776
2015/02/17,22.36985413284326
2015/02/25,26.33
2015/02/26,26.1
2015/02/27,27.04
2015/03/02,28.05
2015/03/03,28.45
2015/03/04,27.68
2015/03/05,26.67
2015/03/06,26.47
2015/03/09,27.22
2015/03/10,23.44585875427108
2015/03/11,22.997586046133627
2015/03/12,25.93
2015/03/13,25.01
2015/03/16,22.047468345885697
2015/03/17,22.49110772007652
2015/03/18,22.22722739314917
2015/03/19,27.3
2015/03/20,23.806137751607096
2015/03/23,28.76
2015/03/24,30.67
2015/03/25,27.53282844905992
2015/03/26,12.981740652782134
2015/03/27,29.28
2015/03/30,14.523717023290292
2015/03/31,25.857268527883686
2015/04/01,27.52673041896437
2015/04/02,29.222137321574166
2015/04/03,31.17
2015/04/07,29.51
2015/04/08,29.31582520286741
2015/04/09,35.06
2015/04/10,33.41
2015/04/13,34.41114125157739
2015/04/14,36.762217119409385
2015/04/15,40.13
2015/04/16,37.36
2015/04/17,41.57
2015/04/20,47.75
2015/04/21,46.9
2015/04/22,44.28
2015/04/23,44.72
2015/04/24,45.65
2015/04/27,44.88702356663942
2015/04/28,46.59
2015/04/29,45.686196588926855
2015/04/30,46.18072100854009
2015/05/04,41.96064657226558
2015/05/05,41.336847923447976
2015/05/06,41.48270193718265
2015/05/07,42.4697228335684
2015/05/08,44.97
2015/05/11,45.78
2015/05/12,45.97
2015/05/13,46.03
2015/05/14,44.96
2015/05/15,41.44
2015/05/18,37.48
2015/05/19,34.82169746677825
2015/05/20,37.4676807044076
2015/05/21,38.02654102335085
2015/05/22,43.01
2015/05/25,41.12887359262732
2015/05/26,41.851927017928006
2015/05/27,46.91
2015/05/28,23.990910853920045
2015/05/29,47.29
2015/06/01,42.17196870903695
2015/06/02,43.04714531045168
2015/06/03,43.32952773186
2015/06/04,41.84361007034817
2015/06/05,41.97816590358708
2015/06/08,38.4333006731911
2015/06/09,42.93660299055543
2015/06/10,48.07
2015/06/11,45.13202429377646
2015/06/12,49.76
2015/06/15,43.5114450441199
2015/06/16,42.47774459552839
2015/06/17,42.47529262873272
2015/06/18,47.08
2015/06/19,42.472999835554376
2015/06/23,48.45701517076784
2015/06/24,48.49690559174446
2015/06/25,47.42
2015/06/26,60.5888712633343
2015/06/29,20.239479891787816
2015/06/30,25.81522422905837
2015/07/01,53.324619763898205
2015/07/02,57.54
2015/07/03,52.015452850646085
2015/07/06,56.84798040564903
2015/07/07,52.06380887977188
2015/07/08,48.25657936456684
2015/07/09,52.18205695485915
2015/07/10,54.02
2015/07/13,50.33807354986285
2015/07/14,46.61846942502769
2015/07/15,42.49745622719286
2015/07/16,41.63
2015/07/17,37.16697223833086
2015/07/20,36.49659071043235
2015/07/21,36.55504497235631
2015/07/22,31.466574388059747
2015/07/23,32.98
2015/07/24,33.09
2015/07/27,42.6652009449695
2015/07/28,39.52
2015/07/29,41.79
2015/07/30,47.39082073116544
2015/07/31,46.86302369627764
2015/08/03,37.60080873890202
2015/08/04,37.47273627398119
2015/08/05,37.4319973712129
2015/08/06,38.69524788159781
2015/08/07,38.09722209641168
2015/08/10,38.05889737214849
2015/08/11,40.18
2015/08/12,37.28822056000399
2015/08/13,39.61
2015/08/14,37.10583624153215
2015/08/17,37.14379812169394
2015/08/18,39.07
2015/08/19,34.70799210281192
2015/08/20,34.220147360525026
2015/08/21,35.2
2015/08/24,35.61
2015/08/25,40.80912441796914
2015/08/26,59.09777643667768
2015/08/27,18.05650223925099
2015/08/28,33.67281243079529
2015/08/31,41.89972868972416
2015/09/01,59.37534920031673
2015/09/02,60.88
2015/09/07,59.49
2015/09/08,47.98
2015/09/09,42.61087493727933
2015/09/10,41.78
2015/09/11,37.9494665836462
2015/09/14,39.3541484472068
2015/09/15,41.503471385680896
2015/09/16,41.34
2015/09/17,38.01702543823028
2015/09/18,40.19
2015/09/21,37.05609121048508
2015/09/22,37.17
2015/09/23,35.35742913744132
2015/09/24,36.99471268260145
2015/09/25,33.25770597189598
2015/09/28,31.93
2015/09/29,29.652676080675903
2015/09/30,30.65
2015/10/08,28.424041066759248
2015/10/09,26.910700192062407
2015/10/12,30.07
2015/10/13,31.95
2015/10/14,28.545950715684764
2015/10/15,29.66
2015/10/16,29.26
2015/10/19,27.26201848702734
2015/10/20,27.922891939674955
2015/10/21,29.54108710920891
2015/10/22,28.86189536276439
2015/10/23,27.89126685242217
2015/10/26,32.39
2015/10/27,30.86
2015/10/28,31.72
2015/10/29,31.76
2015/10/30,28.96
2015/11/02,29.84
2015/11/03,27.260487623650352
2015/11/04,27.03646556554884
2015/11/05,29.50031755281362
2015/11/06,29.827195634445587
2015/11/09,39.40695703993772
2015/11/10,40.55096974515901
2015/11/11,37.182189682364005
2015/11/12,36.1947408587185
2015/11/13,37.74
2015/11/16,38.37
2015/11/17,35.3213293835042
2015/11/18,37.03
2015/11/19,35.99
2015/11/20,31.57506455660896
2015/11/23,30.747021487055093
2015/11/24,31.83
2015/11/25,32.28
2015/11/26,26.55228012368568
2015/11/27,34.58
2015/11/30,4.813893081264245
2015/12/01,33.73
2015/12/02,32.45
2015/12/03,29.84469404403333
2015/12/04,32.49
2015/12/07,28.741632018182
2015/12/08,28.478351913245582
2015/12/09,28.16590257626808
2015/12/10,27.90386526598182
2015/12/11,30.77
2015/12/14,28.00405150317844
2015/12/15,30.47
2015/12/16,30.28
2015/12/17,26.327912575877825
2015/12/18,26.08
2015/12/21,23.8878456248938
2015/12/22,25.1998286884001
2015/12/23,24.17237638438378
2015/12/24,25.96867956786842
2015/12/25,24.489289828048022
2015/12/28,35.009258278197194
2015/12/29,27.28
2015/12/30,27.46
2015/12/31,27.95
2016/01/04,33.44
2016/01/05,32.18
2016/01/06,31.51
2016/01/07,23.33
2016/01/08,31.972806783403733
2016/01/11,29.86760961355175
2016/01/12,35.91
2016/01/13,34.72
2016/01/14,34.28214441989862
2016/01/15,31.601255041933303
2016/01/18,37.24
2016/01/19,33.86365659162276
2016/01/20,33.205236428007034
2016/01/21,35.12
2016/01/22,31.5132685568854
2016/01/25,34.74
2016/01/26,32.02
2016/01/27,34.93661147424304
2016/01/28,37.67
2016/01/29,38.95
2016/02/01,32.84329620318141
2016/02/02,35.14
2016/02/03,34.8
2016/02/04,34.52
2016/02/05,32.01237193282977
2016/02/15,34.00556270641118
2016/02/16,36.65
2016/02/17,32.347177815002695
