trade_date,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2026/03/27,50ETF购6月2650,认购,2.65,2026/06/24 0:00,0.28
2026/03/27,50ETF沽6月2650,认沽,2.65,2026/06/24 0:00,0.025
2026/03/27,50ETF购6月2700,认购,2.7,2026/06/24 0:00,0.2474
2026/03/27,50ETF沽6月2700,认沽,2.7,2026/06/24 0:00,0.0326
2026/03/27,50ETF购6月2750,认购,2.75,2026/06/24 0:00,0.2049
2026/03/27,50ETF沽6月2750,认沽,2.75,2026/06/24 0:00,0.043
2026/03/27,50ETF购6月2776A,认购,2.776,2026/06/24 0:00,0.1853
2026/03/27,50ETF沽6月2776A,认沽,2.776,2026/06/24 0:00,0.049
2026/03/27,50ETF购6月2800,认购,2.8,2026/06/24 0:00,0.1688
2026/03/27,50ETF沽6月2800,认沽,2.8,2026/06/24 0:00,0.0558
2026/03/27,50ETF购6月2825A,认购,2.825,2026/06/24 0:00,0.1503
2026/03/27,50ETF沽6月2825A,认沽,2.825,2026/06/24 0:00,0.0627
2026/03/27,50ETF购6月2850,认购,2.85,2026/06/24 0:00,0.1349
2026/03/27,50ETF沽6月2850,认沽,2.85,2026/06/24 0:00,0.0717
2026/03/27,50ETF购6月2874A,认购,2.874,2026/06/24 0:00,0.121
2026/03/27,50ETF沽6月2874A,认沽,2.874,2026/06/24 0:00,0.0808
2026/03/27,50ETF购6月2900,认购,2.9,2026/06/24 0:00,0.106
2026/03/27,50ETF沽6月2900,认沽,2.9,2026/06/24 0:00,0.092
2026/03/27,50ETF购6月2923A,认购,2.923,2026/06/24 0:00,0.0937
2026/03/27,50ETF沽6月2923A,认沽,2.923,2026/06/24 0:00,0.1026
2026/03/27,50ETF购6月2950,认购,2.95,2026/06/24 0:00,0.081
2026/03/27,50ETF沽6月2950,认沽,2.95,2026/06/24 0:00,0.1168
2026/03/27,50ETF购6月3000,认购,3.0,2026/06/24 0:00,0.0612
2026/03/27,50ETF沽6月3000,认沽,3.0,2026/06/24 0:00,0.1475
2026/03/27,50ETF购6月3020A,认购,3.02,2026/06/24 0:00,0.0546
2026/03/27,50ETF沽6月3020A,认沽,3.02,2026/06/24 0:00,0.1603
2026/03/27,50ETF购6月3100,认购,3.1,2026/06/24 0:00,0.0335
2026/03/27,50ETF沽6月3100,认沽,3.1,2026/06/24 0:00,0.2196
2026/03/27,50ETF购6月3117A,认购,3.117,2026/06/24 0:00,0.0311
2026/03/27,50ETF沽6月3117A,认沽,3.117,2026/06/24 0:00,0.2333
2026/03/27,50ETF购6月3200,认购,3.2,2026/06/24 0:00,0.019
2026/03/27,50ETF沽6月3200,认沽,3.2,2026/06/24 0:00,0.3034
2026/03/27,50ETF购6月3215A,认购,3.215,2026/06/24 0:00,0.0181
2026/03/27,50ETF沽6月3215A,认沽,3.215,2026/06/24 0:00,0.3176
2026/03/27,50ETF购6月3300,认购,3.3,2026/06/24 0:00,0.0115
2026/03/27,50ETF沽6月3300,认沽,3.3,2026/06/24 0:00,0.3969
2026/03/27,50ETF购6月3312A,认购,3.312,2026/06/24 0:00,0.0119
2026/03/27,50ETF沽6月3312A,认沽,3.312,2026/06/24 0:00,0.4078
2026/03/27,50ETF购6月3400,认购,3.4,2026/06/24 0:00,0.0079
2026/03/27,50ETF沽6月3400,认沽,3.4,2026/06/24 0:00,0.4901
2026/03/27,50ETF购6月3410A,认购,3.41,2026/06/24 0:00,0.0079
2026/03/27,50ETF沽6月3410A,认沽,3.41,2026/06/24 0:00,0.5113
2026/03/27,50ETF购6月3500,认购,3.5,2026/06/24 0:00,0.0061
2026/03/27,50ETF沽6月3500,认沽,3.5,2026/06/24 0:00,0.5865
2026/03/27,50ETF购6月3507A,认购,3.507,2026/06/24 0:00,0.0057
2026/03/27,50ETF沽6月3507A,认沽,3.507,2026/06/24 0:00,0.59
2026/03/27,50ETF购6月3600,认购,3.6,2026/06/24 0:00,0.0053
2026/03/27,50ETF沽6月3600,认沽,3.6,2026/06/24 0:00,0.6875
