instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount,fetch_time,instrument_id,end_month
MO2606-C-5200,195,12,2358.6,150.8,2303.2,1,2354.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-5400,94,13,2182.0,157.4,2108.0,1,2159.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-5600,196,9,1939.2,111.6,1932.6,1,1967.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-5800,132,0,1641.4,1.0,1742.6,1,1778.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6000,305,16,1501.0,44.2,1553.8,1,1590.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6200,336,15,1415.0,138.8,1368.8,1,1408.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6400,383,22,1230.0,133.6,1189.2,1,1229.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6600,513,28,1030.4,105.0,1024.4,1,1056.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6700,15,3,910.2,65.6,946.8,1,970.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6800,727,18,870.4,99.4,865.8,1,889.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-6900,257,252,799.8,106.0,787.4,1,814.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7000,1132,101,720.0,88.6,712.0,1,737.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7100,100,88,648.0,91.6,640.0,1,661.8,2,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7200,1502,117,598.4,103.2,585.6,1,600.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7300,93,63,510.0,73.4,512.0,1,523.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7400,1918,387,448.6,61.4,454.2,1,456.2,4,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7500,320,233,390.0,56.4,398.0,1,408.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7600,2084,537,345.6,50.6,346.2,1,354.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7700,236,115,294.8,45.6,299.2,2,310.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7800,2360,706,259.8,43.4,261.0,1,265.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-7900,122,204,218.0,35.4,223.4,1,228.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8000,3958,1269,190.0,31.0,189.4,1,190.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8100,142,75,157.6,25.4,161.8,1,167.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8200,3949,707,136.8,23.4,138.2,2,142.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8300,204,204,115.6,20.4,116.0,1,117.4,3,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8400,3751,611,100.0,20.0,100.0,1,101.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8500,392,169,83.6,14.6,85.2,1,87.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8600,4222,1042,72.4,12.6,73.6,1,75.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-8800,1945,306,52.2,8.4,54.0,1,54.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-9000,1867,485,40.2,8.0,40.6,3,41.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-9200,1860,419,31.4,7.0,31.4,3,32.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-9400,1631,519,25.0,4.8,24.6,1,26.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-C-9600,1611,771,20.8,4.4,20.8,1,21.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-5200,2808,808,19.6,-2.8,19.4,1,19.8,3,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-5400,929,228,24.8,-3.0,24.4,1,26.0,2,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-5600,1281,196,33.0,-3.6,32.0,2,33.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-5800,958,187,41.8,-5.2,40.6,1,41.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6000,1643,476,52.6,-4.8,52.4,1,53.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6200,1381,487,70.0,-7.6,66.8,1,67.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6400,1514,441,87.2,-12.8,86.6,1,89.4,2,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6600,1489,432,117.0,-13.2,111.2,1,113.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6700,182,114,134.6,-18.8,128.6,1,129.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6800,1767,318,152.8,-23.0,147.6,1,154.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-6900,123,164,173.8,-27.2,168.4,1,168.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7000,2633,870,199.4,-26.8,199.2,1,199.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7100,164,110,220.6,-41.2,218.8,1,227.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7200,2113,466,257.2,-39.0,250.8,1,251.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7300,165,97,289.0,-46.2,282.4,1,289.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7400,2521,836,335.2,-46.2,322.0,1,328.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7500,246,126,378.2,-57.8,364.8,1,371.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7600,2086,405,424.0,-62.2,412.8,1,419.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7700,391,47,473.8,-77.0,464.8,1,471.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7800,1808,273,532.0,-75.0,520.2,1,534.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-7900,164,26,575.4,-108.6,576.4,1,598.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8000,2236,171,669.4,-79.4,644.2,1,665.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8100,73,20,741.4,-91.2,716.0,1,736.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8200,1664,118,817.0,-95.2,800.0,1,811.2,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8300,24,2,860.8,-134.0,870.2,1,889.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8400,983,36,978.8,-105.6,953.4,1,970.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8500,4,0,1152.6,-8.2,1036.4,1,1068.4,2,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8600,1184,4,1146.8,-105.2,1127.2,1,1158.6,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-8800,655,20,1303.2,-131.4,1306.6,1,1337.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-9000,224,5,1570.0,-51.8,1490.4,1,1521.0,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-9200,262,14,1746.4,-86.6,1679.0,1,1710.4,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-9400,98,9,1858.6,-169.0,1868.8,1,1902.8,1,2026-03-27 15:08:46,1000INDEX,2606
MO2606-P-9600,35,5,2093.2,-130.6,2062.0,1,2116.2,1,2026-03-27 15:08:46,1000INDEX,2606
