instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount,fetch_time,instrument_id,end_month
MO2605-C-6600,42,24,1060.8,100.0,1062.2,1,1093.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-6700,53,69,976.6,103.8,982.0,1,983.6,12,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-6800,57,9,810.4,22.8,892.8,1,911.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-6900,48,18,797.6,87.8,806.0,1,825.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7000,98,32,713.0,88.8,721.6,1,743.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7100,152,101,640.0,93.8,640.2,1,663.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7200,110,108,560.4,83.2,562.2,1,585.6,2,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7300,236,120,483.6,74.8,500.0,1,501.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7400,409,236,420.6,70.6,425.2,1,431.8,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7500,346,420,356.0,66.8,360.0,1,367.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7600,381,627,296.4,54.6,299.8,1,308.6,2,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7700,630,639,248.2,53.4,248.0,1,249.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7800,480,477,197.8,38.6,202.0,1,205.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-7900,727,612,159.8,36.0,159.4,1,159.8,4,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8000,1698,1127,126.0,26.6,127.0,1,128.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8100,1040,715,98.6,22.4,100.2,1,102.8,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8200,1225,679,76.0,15.8,78.0,1,80.2,9,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8300,707,268,59.2,11.8,60.6,1,64.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8400,713,500,48.0,10.4,47.8,3,48.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8500,594,336,38.2,8.2,38.0,1,39.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8600,433,238,29.4,6.0,30.6,1,32.2,2,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8700,314,261,24.6,5.4,24.8,1,26.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8800,589,188,20.8,4.4,20.8,5,22.0,2,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-8900,334,127,17.8,4.4,17.6,1,18.2,3,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9000,429,235,15.4,4.2,15.4,2,16.0,7,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9100,206,151,13.4,3.8,12.8,2,13.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9200,290,195,11.0,2.6,11.2,1,11.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9300,319,255,10.2,2.6,10.0,4,10.2,2,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9400,484,243,9.4,2.6,9.2,1,9.6,9,2026-03-27 15:08:45,1000INDEX,2605
MO2605-C-9500,1070,575,9.0,2.2,8.8,2,9.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-6600,553,610,55.6,-13.2,55.0,2,56.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-6700,157,142,68.0,-15.0,63.4,1,67.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-6800,235,282,79.2,-15.8,75.2,1,77.8,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-6900,191,309,93.4,-20.2,88.6,1,90.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7000,556,454,108.2,-23.2,104.2,1,108.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7100,594,225,128.2,-26.6,128.2,7,129.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7200,964,371,150.0,-32.2,142.6,1,147.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7300,781,408,173.8,-43.2,169.0,1,174.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7400,803,378,207.6,-42.4,199.0,1,202.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7500,765,720,242.0,-49.6,233.6,1,236.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7600,1325,571,282.6,-60.6,271.4,1,279.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7700,675,381,330.0,-68.8,318.2,1,325.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7800,884,268,384.2,-70.8,370.8,1,377.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-7900,413,116,443.0,-83.6,431.2,1,436.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8000,490,152,511.6,-97.4,500.0,1,502.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8100,282,26,575.6,-96.2,560.2,1,581.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8200,204,32,655.4,-108.2,638.4,1,658.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8300,142,35,742.0,-98.6,721.6,1,740.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8400,138,15,825.4,-105.2,808.6,1,826.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8500,117,8,885.0,-137.0,898.0,1,915.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8600,48,12,1025.2,-91.0,1000.0,1,1007.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8700,48,3,1169.0,-53.0,1067.4,1,1112.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8800,32,9,1168.6,-149.6,1178.0,1,1211.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-8900,22,8,1268.4,-140.4,1274.4,1,1307.4,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9000,21,16,1365.8,-141.2,1370.6,1,1404.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9100,18,5,1463.2,-141.4,1469.6,1,1502.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9200,32,18,1596.2,-107.6,1564.6,1,1600.6,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9300,12,6,1667.2,-134.8,1666.8,1,1699.2,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9400,24,15,1783.6,-125.0,1763.6,1,1798.0,1,2026-03-27 15:08:45,1000INDEX,2605
MO2605-P-9500,37,23,1882.4,-125.6,1860.4,1,1897.2,1,2026-03-27 15:08:45,1000INDEX,2605
