date,ivix_50,ivix_1000,csi1000_close,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,ivix_1000_ma20,spread_ma20,csi1000_ma5,csi1000_ma10,csi1000_ma20
2022-07-22,19.918,24.34,7034.6,4.422000000000001,1.222010241992168,,,,,,,,,,
2022-07-25,20.407,23.952,6948.91,3.5450000000000017,1.1737149017493997,,,,-0.01594083812654057,,,,,,
2022-07-26,19.376,22.39,7027.42,3.0139999999999993,1.1555532617671345,,,,-0.06521376085504349,,,,,,
2022-07-27,19.648,22.646,7099.43,2.998000000000001,1.1525855048859937,,,,0.011433675748101946,-0.06959737058340176,,,,,
2022-07-28,19.7,25.659,7150.2,5.959,1.30248730964467,,,,0.13304777885719332,0.07126753507014016,,,7052.111999999999,,
2022-07-29,21.31,24.176,7117.43,2.8659999999999997,1.1344908493664947,,,,-0.05779648466425036,0.07976775346136655,,,7068.678,,
2022-08-01,21.57,24.749,7180.45,3.1789999999999985,1.1473806212331943,,,,0.023701191264063448,0.09286408195707851,,,7114.986,,
2022-08-02,25.36,26.375,6957.98,1.0150000000000006,1.0400236593059937,,,,0.06569962422724163,0.02790443898826922,,,7101.098,,
2022-08-03,23.47,25.659,6916.67,2.189,1.0932680017043033,,,,-0.02714691943127967,0.06134182660489751,,,7064.545999999999,,
2022-08-04,21.33,25.45,6960.31,4.120000000000001,1.1931551804969527,,,,-0.008145290151603701,0.028324376742494772,,,7026.567999999999,7039.339999999999,
2022-08-05,19.557,23.312,7090.0,3.7550000000000026,1.1920028634248607,,,,-0.08400785854616888,-0.11613270142180088,,,7021.081999999999,7044.88,
2022-08-08,19.71,25.488,7176.11,5.777999999999999,1.2931506849315069,,,,0.09334248455730942,-0.006664328305857614,,,7020.214,7067.6,
2022-08-09,19.45,24.651,7207.4,5.2010000000000005,1.2674035989717225,,,,-0.032838983050847426,-0.03139489194499012,,,7070.098,7085.598,
2022-08-10,19.917,24.603,7212.08,4.686,1.235276397047748,,,,-0.00194718267007421,0.055379203843514135,,,7129.18,7096.863,
2022-08-11,20.006,22.804,7294.49,2.7979999999999983,1.1398580425872238,,,,-0.0731211640856807,-0.1053044569993723,,,7196.0160000000005,7111.2919999999995,
