date,ivix_50,ivix_1000,csi1000_close,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,ivix_1000_ma20,spread_ma20,csi1000_ma5,csi1000_ma10,csi1000_ma20,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure,asset_ret,strategy_exposure,turnover,cost,strategy_ret,strategy_nav,benchmark_nav,trade_action
2022-10-21,20.38,23.93,6432.33,3.5500000000000007,1.174190382728165,-0.5021526387496855,-0.1830606818896296,0.4512921990845951,-0.0131958762886598,-0.0168447000821693,23.785,4.0798944795,6460.825999999999,6315.768,6331.464,0.0,0.0,0.0,S1,50%,0.00040903930198932237,0.0,0.0,0.0,0.0,1.0,1.0,
2022-10-24,24.64,26.25,6378.43,1.6099999999999994,1.0653409090909092,-3.2278835862706545,-1.5303823831886971,1.6972904719479334,0.0969494358545759,0.1038687973086627,24.141,4.1523944795,6442.022,6355.161,6330.3955,0.0,0.0,0.0,S1,50%,-0.008379545203682004,0.0,0.0,0.0,-0.0,1.0,0.9916204547963181,
2022-10-25,22.9,26.68,6355.78,3.780000000000001,1.1650655021834062,-0.4526091034260842,0.0151083904459719,1.8539478114203127,0.0163809523809523,0.1002061855670102,24.3475,4.1383944795,6411.478,6388.967,6324.078,0.0,0.0,0.0,S1,50%,-0.003551030582761072,0.0,0.0,0.0,-0.0,1.0,0.9880991802348449,
2022-10-26,21.11,25.0,6491.69,3.890000000000001,1.1842728564661298,-0.3230191197395827,0.0833870649934862,0.9296645874084104,-0.0629685157421289,0.0447137484329294,24.4385,4.1448944795000005,6417.586,6418.871000000001,6324.6325,0.0,0.0,0.0,S1,50%,0.02138368540131963,0.0,0.0,0.0,0.0,1.0,1.0092283822502885,
2022-10-27,21.06551721,25.0,6461.61,3.934482790000001,1.1867736144703944,-0.2990329552028515,0.104309292190814,0.9032459709452276,0.0,-0.0476190476190476,24.532,4.166618619,6423.968,6439.81,6323.349499999999,0.0,0.0,0.0,S1,50%,-0.004633616207798008,0.0,0.0,0.0,-0.0,1.0,1.0045520052609238,
2022-10-28,24.03,26.19,6239.93,2.16,1.0898876404494382,-2.154213219508657,-1.1342925984051833,1.5154083909629166,0.0476,-0.0183658170914542,24.693,4.086118619,6385.488,6423.157,6317.162,0.0,0.0,0.0,S1,50%,-0.034307239217470475,0.0,0.0,0.0,-0.0,1.0,0.9700885993100478,
2022-10-31,26.78,26.94,6292.62,0.1600000000000001,1.0059746079163554,-2.9793024527381218,-2.4258420685730675,1.8318260425845725,0.0286368843069872,0.0776000000000001,24.8355,3.895118619,6368.326,6405.174,6317.6135,0.0,0.0,0.0,S1,50%,0.008444004980824982,0.0,0.0,0.0,0.0,1.0,0.9782800322744633,
2022-11-01,23.33,25.28,6439.82,1.9500000000000028,1.083583369052722,-1.3806056496352408,-1.1656699193116873,0.9788532768531084,-0.0616184112843355,0.0112,24.9115,3.748618619,6385.134,6398.306,6319.1155,0.0,0.0,0.0,S1,50%,0.02339248198683541,0.0,0.0,0.0,0.0,1.0,1.0011644303075244,
2022-11-02,22.09,24.34,6524.51,2.25,1.1018560434585785,-1.039444938401031,-0.9951354222453316,0.5291749328123333,-0.0371835443037975,-0.0706376479572356,24.9065,3.617118619,6391.697999999999,6404.642,6334.7855,0.0,0.0,0.0,S2,80%-100%,0.013150988692230525,0.0,0.0,0.0,0.0,1.0,1.014330732409562,
2022-11-03,22.24,25.29,6566.84,3.0500000000000007,1.1371402877697845,-0.3964239569322986,-0.4521007854889599,1.0264631082183693,0.0390304026294165,-0.0612472160356347,24.954500000000003,3.5728241395000007,6412.744000000001,6418.356,6351.688499999999,0.0,0.0,0.0,S1,50%,0.006487843531544968,0.0,0.0,0.0,0.0,1.0,1.0209115514906728,
