metric,confirmed_only,confirmed_plus_panic
start_date,2022-10-21,2022-10-21
end_date,2026-03-27,2026-03-27
rows,824,824
strategy_total_return,0.10515101031875473,0.15135418850407256
strategy_annual_return,0.031049293567403158,0.044045054512995785
strategy_max_drawdown,-0.025924892164622126,-0.025924892164622126
strategy_sharpe,0.9861299938226116,1.2113126824575062
trade_count,7,9
trade_win_rate,0.5714285714285714,0.6666666666666666
avg_holding_days,10.285714285714286,9.666666666666666
avg_trade_return,0.029295488118937056,0.03235998896778912
benchmark_total_return,0.20427793661083982,0.20427793661083982
benchmark_annual_return,0.05849368592322235,0.05849368592322235
benchmark_max_drawdown,-0.3922263435075599,-0.3922263435075599
benchmark_sharpe,0.35404541945985424,0.35404541945985424
