date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2022-07-22,19.918,24.34,4.422000000000001,1.222010241992168,,,,,,7034.6,0,0,0,,
2022-07-25,20.407,23.952,3.5450000000000017,1.1737149017493995,,,,-0.0159408381265405,,6948.91,0,0,0,,
2022-07-26,19.376,22.39,3.014,1.1555532617671345,,,,-0.0652137608550434,,7027.42,0,0,0,,
2022-07-27,19.648,22.646,2.998000000000001,1.1525855048859937,,,,0.0114336757481019,-0.0695973705834017,7099.43,0,0,0,,
2022-07-28,19.7,25.659,5.959,1.30248730964467,,,,0.1330477788571933,0.0712675350701401,7150.2,0,0,0,,
2022-07-29,21.31,24.176,2.866,1.1344908493664947,,,,-0.0577964846642503,0.0797677534613665,7117.43,0,0,0,,
2022-08-01,21.57,24.749,3.1789999999999985,1.1473806212331945,,,,0.0237011912640634,0.0928640819570785,7180.45,0,0,0,,
2022-08-02,25.36,26.375,1.0150000000000006,1.0400236593059935,,,,0.0656996242272416,0.0279044389882692,6957.98,0,0,0,,
2022-08-03,23.47,25.659,2.189,1.0932680017043033,,,,-0.0271469194312796,0.0613418266048975,6916.67,0,0,0,,
2022-08-04,21.33,25.45,4.120000000000001,1.193155180496953,,,,-0.0081452901516037,0.0283243767424947,6960.31,0,0,0,,
2022-08-05,19.557,23.312,3.7550000000000026,1.1920028634248607,,,,-0.0840078585461688,-0.1161327014218008,7090.0,0,0,0,,
2022-08-08,19.71,25.488,5.777999999999999,1.2931506849315069,,,,0.0933424845573094,-0.0066643283058576,7176.11,0,0,0,,
2022-08-09,19.45,24.651,5.2010000000000005,1.2674035989717225,,,,-0.0328389830508474,-0.0313948919449901,7207.4,0,0,0,,
2022-08-10,19.917,24.603,4.686,1.235276397047748,,,,-0.0019471826700742,0.0553792038435141,7212.08,0,0,0,,
2022-08-11,20.006,22.804,2.7979999999999983,1.1398580425872238,,,,-0.0731211640856807,-0.1053044569993723,7294.49,0,0,0,,
2022-08-12,19.174,21.013,1.8390000000000024,1.0959111296547408,,,,-0.0785388528328362,-0.1475802198693764,7228.83,0,0,0,,
2022-08-15,19.43,21.501,2.071000000000001,1.1065877509006692,,,,0.0232237186503592,-0.126082185099378,7283.5,0,0,0,,
2022-08-16,19.167,21.586,2.418999999999997,1.1262065007565083,,,,0.0039533044974651,-0.0534116821610244,7324.62,0,0,0,,
2022-08-17,18.918,20.92,2.0020000000000024,1.1058251400782324,,,,-0.030853330862596,-0.0044258316280397,7328.67,0,0,0,,
